iter	Passed	Remaining
0	140	140307
1	145	72573
2	151	50219
3	157	39112
4	162	32292
5	166	27656
6	171	24372
7	176	21932
8	181	20005
9	186	18440
10	191	17194
11	196	16140
12	201	15262
13	206	14565
14	212	13936
15	217	13380
16	222	12853
17	227	12406
18	232	12009
19	237	11654
20	243	11329
21	248	11054
22	253	10766
23	258	10496
24	265	10350
25	271	10175
26	276	9966
27	281	9781
28	286	9589
29	290	9383
30	293	9161
31	296	8965
32	298	8748
33	300	8535
34	302	8347
35	304	8160
36	306	7984
37	308	7818
38	310	7651
39	312	7489
40	313	7337
41	315	7187
42	316	7047
43	318	6918
44	321	6820
45	323	6709
46	325	6592
47	326	6479
48	328	6373
49	329	6268
50	331	6166
51	332	6068
52	334	5980
53	336	5894
54	338	5811
55	339	5725
56	341	5641
57	342	5563
58	344	5487
59	345	5411
60	346	5340
61	348	5274
62	350	5212
63	352	5153
64	353	5091
65	355	5032
66	357	4979
67	359	4922
68	360	4869
69	362	4814
70	364	4768
71	366	4719
72	367	4672
73	369	4623
74	371	4576
75	372	4531
76	374	4486
77	375	4442
78	377	4402
79	379	4364
80	381	4325
81	383	4288
82	383	4242
83	385	4205
84	387	4168
85	388	4133
86	390	4097
87	392	4067
88	396	4059
89	400	4046
90	402	4023
91	405	4001
92	409	3996
93	412	3977
94	414	3953
95	417	3931
96	420	3910
97	422	3889
98	426	3880
99	430	3873
100	433	3855
101	436	3839
102	439	3826
103	443	3817
104	445	3795
105	447	3772
106	449	3753
107	452	3735
108	456	3732
109	459	3719
110	461	3699
111	464	3679
112	466	3659
113	468	3638
114	471	3627
115	474	3615
116	476	3593
117	478	3576
118	480	3556
119	482	3538
120	485	3527
121	488	3514
122	490	3498
123	492	3482
124	495	3465
125	497	3448
126	499	3432
127	503	3431
128	506	3417
129	508	3400
130	510	3384
131	512	3367
132	514	3355
133	525	3396
134	527	3379
135	529	3362
136	531	3349
137	534	3335
138	535	3319
139	537	3302
140	539	3286
141	540	3266
142	542	3250
143	544	3235
144	546	3223
145	549	3213
146	551	3197
147	552	3182
148	554	3168
149	556	3153
150	558	3139
151	560	3125
152	562	3115
153	564	3103
154	566	3088
155	568	3074
156	570	3062
157	572	3049
158	574	3037
159	576	3026
160	578	3012
161	580	3001
162	582	2988
163	584	2977
164	585	2965
165	587	2953
166	589	2941
167	592	2932
168	594	2922
169	596	2911
170	598	2899
171	599	2887
172	601	2875
173	603	2864
174	605	2854
175	607	2846
176	610	2837
177	611	2825
178	613	2815
179	616	2808
180	618	2797
181	620	2787
182	623	2782
183	626	2779
184	629	2772
185	631	2762
186	633	2752
187	637	2751
188	640	2747
189	642	2739
190	644	2730
191	646	2720
192	648	2712
193	650	2702
194	653	2696
195	655	2689
196	657	2681
197	659	2672
198	661	2663
199	663	2653
200	665	2645
201	667	2638
202	670	2632
203	672	2623
204	674	2614
205	675	2605
206	677	2595
207	679	2588
208	682	2581
209	684	2574
210	686	2566
211	687	2557
212	689	2548
213	691	2539
214	693	2532
215	695	2523
216	698	2520
217	700	2513
218	702	2506
219	705	2500
220	707	2492
221	708	2483
222	710	2474
223	711	2466
224	713	2458
225	715	2450
226	716	2441
227	718	2432
228	719	2423
229	721	2414
230	722	2406
231	724	2398
232	725	2389
233	727	2382
234	729	2375
235	731	2367
236	732	2358
237	734	2350
238	735	2341
239	737	2334
240	738	2326
241	740	2318
242	741	2310
243	743	2304
244	745	2297
245	747	2289
246	748	2281
247	750	2274
248	751	2266
249	753	2259
250	754	2252
251	756	2244
252	758	2238
253	759	2231
254	761	2224
255	762	2217
256	764	2209
257	765	2202
258	767	2195
259	768	2188
260	770	2181
261	772	2176
262	774	2169
263	775	2162
264	777	2155
265	778	2148
266	780	2142
267	781	2135
268	783	2128
269	784	2121
270	786	2114
271	788	2109
272	790	2104
273	791	2097
274	793	2090
275	794	2085
276	796	2078
277	797	2072
278	799	2065
279	800	2059
280	802	2053
281	804	2048
282	806	2042
283	807	2036
284	809	2030
285	810	2024
286	812	2018
287	813	2012
288	815	2006
289	817	2001
290	819	1995
291	821	1991
292	822	1985
293	824	1980
294	826	1974
295	827	1968
296	829	1962
297	830	1957
298	832	1952
299	835	1948
300	837	1944
301	839	1939
302	840	1934
303	842	1929
304	844	1925
305	847	1921
306	849	1917
307	851	1912
308	853	1908
309	855	1903
310	857	1898
311	858	1893
312	861	1890
313	863	1886
314	866	1883
315	868	1879
316	870	1874
317	872	1870
318	873	1865
319	875	1860
320	877	1856
321	879	1852
322	881	1848
323	883	1843
324	885	1838
325	887	1834
326	889	1830
327	891	1827
328	894	1824
329	899	1825
330	902	1823
331	906	1824
332	912	1828
333	917	1828
334	919	1824
335	922	1823
336	925	1820
337	928	1817
338	930	1815
339	934	1814
340	938	1813
341	941	1810
342	943	1807
343	945	1803
344	948	1801
345	952	1800
346	955	1798
347	959	1796
348	961	1794
349	964	1790
350	969	1792
351	971	1789
352	974	1786
353	976	1782
354	978	1778
355	981	1775
356	984	1773
357	987	1770
358	989	1767
359	991	1763
360	994	1760
361	998	1760
362	1002	1758
363	1005	1756
364	1007	1752
365	1009	1748
366	1013	1747
367	1016	1745
368	1018	1742
369	1021	1738
370	1023	1735
371	1025	1731
372	1031	1734
373	1036	1734
374	1039	1733
375	1045	1734
376	1047	1731
377	1052	1731
378	1054	1727
379	1056	1723
380	1060	1722
381	1062	1719
382	1065	1716
383	1067	1712
384	1069	1708
385	1072	1706
386	1076	1705
387	1079	1702
388	1081	1698
389	1083	1694
390	1085	1691
391	1088	1688
392	1094	1689
393	1096	1686
394	1099	1683
395	1101	1679
396	1104	1678
397	1107	1675
398	1109	1671
399	1112	1669
400	1115	1666
401	1117	1662
402	1120	1660
403	1123	1657
404	1125	1653
405	1128	1650
406	1130	1646
407	1132	1642
408	1136	1641
409	1138	1638
410	1141	1635
411	1143	1631
412	1145	1627
413	1147	1624
414	1150	1622
415	1153	1619
416	1155	1615
417	1157	1612
418	1159	1608
419	1162	1604
420	1164	1602
421	1167	1598
422	1169	1595
423	1172	1592
424	1174	1588
425	1176	1585
426	1178	1581
427	1182	1579
428	1184	1576
429	1187	1574
430	1189	1570
431	1192	1567
432	1194	1564
433	1197	1561
434	1199	1558
435	1201	1554
436	1204	1551
437	1206	1547
438	1209	1545
439	1212	1542
440	1215	1540
441	1217	1536
442	1219	1533
443	1222	1530
444	1225	1528
445	1228	1525
446	1230	1522
447	1232	1518
448	1234	1515
449	1236	1511
450	1239	1508
451	1242	1506
452	1244	1502
453	1246	1499
454	1248	1495
455	1251	1492
456	1253	1489
457	1256	1486
458	1258	1483
459	1261	1480
460	1263	1476
461	1265	1473
462	1267	1469
463	1269	1466
464	1272	1463
465	1274	1460
466	1277	1457
467	1279	1454
468	1281	1450
469	1283	1447
470	1288	1446
471	1291	1444
472	1293	1441
473	1296	1438
474	1298	1435
475	1301	1433
476	1304	1430
477	1306	1426
478	1308	1423
479	1311	1420
480	1313	1417
481	1316	1414
482	1319	1412
483	1321	1408
484	1323	1405
485	1325	1402
486	1327	1398
487	1330	1395
488	1333	1393
489	1336	1390
490	1338	1387
491	1340	1384
492	1342	1380
493	1344	1377
494	1346	1374
495	1349	1371
496	1366	1382
497	1368	1379
498	1369	1375
499	1371	1371
500	1373	1367
501	1374	1364
502	1376	1360
503	1379	1357
504	1381	1353
505	1383	1350
506	1385	1346
507	1386	1343
508	1388	1339
509	1390	1335
510	1392	1332
511	1394	1329
512	1396	1325
513	1398	1322
514	1400	1318
515	1401	1314
516	1403	1311
517	1405	1307
518	1407	1304
519	1409	1301
520	1411	1297
521	1413	1294
522	1414	1290
523	1416	1286
524	1418	1283
525	1419	1279
526	1422	1276
527	1424	1273
528	1426	1270
529	1428	1266
530	1429	1262
531	1431	1259
532	1433	1255
533	1434	1252
534	1436	1248
535	1438	1245
536	1440	1241
537	1441	1238
538	1443	1234
539	1445	1231
540	1446	1227
541	1448	1223
542	1450	1220
543	1452	1217
544	1454	1214
545	1456	1210
546	1458	1207
547	1459	1204
548	1461	1200
549	1463	1197
550	1465	1193
551	1467	1191
552	1469	1188
553	1471	1184
554	1473	1181
555	1474	1177
556	1476	1174
557	1478	1171
558	1480	1167
559	1483	1165
560	1485	1162
561	1487	1158
562	1488	1155
563	1491	1152
564	1493	1149
565	1494	1146
566	1497	1143
567	1498	1139
568	1500	1136
569	1502	1133
570	1504	1130
571	1505	1126
572	1507	1123
573	1509	1120
574	1511	1117
575	1514	1114
576	1516	1111
577	1517	1108
578	1519	1105
579	1521	1101
580	1523	1098
581	1525	1095
582	1527	1092
583	1529	1089
584	1531	1086
585	1533	1083
586	1534	1079
587	1536	1076
588	1538	1073
589	1539	1070
590	1542	1067
591	1544	1064
592	1546	1061
593	1547	1057
594	1549	1054
595	1551	1051
596	1553	1048
597	1554	1045
598	1556	1042
599	1558	1039
600	1561	1036
601	1563	1033
602	1564	1030
603	1566	1027
604	1568	1023
605	1570	1020
606	1572	1018
607	1575	1015
608	1577	1012
609	1578	1009
610	1580	1006
611	1582	1003
612	1584	1000
613	1586	997
614	1588	994
615	1590	991
616	1592	988
617	1593	985
618	1595	982
619	1597	979
620	1599	976
621	1601	973
622	1603	970
623	1605	967
624	1607	964
625	1609	961
626	1610	958
627	1612	955
628	1614	952
629	1616	949
630	1618	946
631	1621	943
632	1622	940
633	1624	938
634	1626	935
635	1628	932
636	1630	929
637	1632	926
638	1634	923
639	1637	920
640	1638	917
641	1640	914
642	1642	911
643	1644	908
644	1645	905
645	1647	903
646	1649	900
647	1651	897
648	1653	894
649	1654	891
650	1656	888
651	1658	885
652	1660	882
653	1662	879
654	1665	877
655	1666	874
656	1668	871
657	1670	868
658	1672	865
659	1673	862
660	1675	859
661	1677	856
662	1680	853
663	1681	851
664	1683	848
665	1685	845
666	1687	842
667	1688	839
668	1690	836
669	1693	833
670	1695	831
671	1697	828
672	1698	825
673	1700	822
674	1702	819
675	1703	816
676	1705	813
677	1708	811
678	1710	808
679	1711	805
680	1713	802
681	1715	799
682	1716	796
683	1718	794
684	1720	791
685	1722	788
686	1725	785
687	1726	783
688	1729	780
689	1732	778
690	1734	775
691	1738	773
692	1740	771
693	1742	768
694	1744	765
695	1746	762
696	1747	759
697	1749	756
698	1751	754
699	1753	751
700	1755	748
701	1757	746
702	1759	743
703	1760	740
704	1762	737
705	1764	734
706	1765	731
707	1768	729
708	1770	726
709	1772	724
710	1774	721
711	1776	718
712	1777	715
713	1779	712
714	1781	710
715	1783	707
716	1785	704
717	1787	702
718	1789	699
719	1791	696
720	1792	693
721	1794	691
722	1797	688
723	1799	685
724	1801	683
725	1803	680
726	1805	677
727	1807	675
728	1808	672
729	1810	669
730	1813	667
731	1815	664
732	1817	662
733	1818	659
734	1820	656
735	1822	653
736	1824	651
737	1826	648
738	1828	645
739	1830	642
740	1831	640
741	1833	637
742	1835	634
743	1836	632
744	1838	629
745	1840	626
746	1842	623
747	1844	621
748	1846	618
749	1847	615
750	1849	613
751	1851	610
752	1852	607
753	1854	605
754	1856	602
755	1858	599
756	1861	597
757	1863	594
758	1865	592
759	1866	589
760	1868	586
761	1870	584
762	1872	581
763	1874	579
764	1877	576
765	1878	573
766	1880	571
767	1882	568
768	1884	565
769	1886	563
770	1888	560
771	1890	558
772	1892	555
773	1893	552
774	1895	550
775	1897	547
776	1898	544
777	1900	542
778	1902	539
779	1904	537
780	1906	534
781	1908	532
782	1910	529
783	1911	526
784	1913	524
785	1915	521
786	1917	518
787	1919	516
788	1921	513
789	1923	511
790	1924	508
791	1926	505
792	1928	503
793	1930	500
794	1931	498
795	1934	495
796	1936	493
797	1938	490
798	1939	487
799	1941	485
800	1943	482
801	1945	480
802	1946	477
803	1949	475
804	1951	472
805	1952	470
806	1954	467
807	1956	464
808	1958	462
809	1959	459
810	1961	457
811	1964	454
812	1966	452
813	1968	449
814	1969	447
815	1971	444
816	1973	442
817	1975	439
818	1977	436
819	1979	434
820	1981	432
821	1983	429
822	1985	426
823	1986	424
824	1988	421
825	1989	419
826	1991	416
827	1994	414
828	1997	412
829	1999	409
830	2001	407
831	2003	404
